School,Room,Tag#,Type,Brand,Model Number,Serial Number,PO#,Vendor,Price,Funds,Purchase Date,Disposal Date
District Office,Technology,47272,Phone,Polycom,IP335,0004F2442B903,,,,,0000-00-00,0000-00-00
District Office,Technology,47271,Phone,Polycom,IP335,0004F242CF2A,,,,,0000-00-00,0000-00-00
District Office,Technology,47270,Phone,Polycom,IP335,0004F242C1BE,,,,,0000-00-00,0000-00-00
District Office,Technology,47278,Phone,Polycom,IP450,0004F2363060,,,,,0000-00-00,0000-00-00
District Office,Technology,47277,Phone,Polycom,IP450,0004F236306D,,,,,0000-00-00,0000-00-00
District Office,Technology,47276,Phone,Polycom,IP450,0004F23678AA,,,,,0000-00-00,0000-00-00
District Office,Technology,47269,Phone,Polycom,IP450,0004F2362D98,,,,,0000-00-00,0000-00-00
District Office,Technology,47274,Phone,Polycom,IP450,0004F23F685C,,,,,0000-00-00,0000-00-00
District Office,Technology,47273,Phone,Polycom,IP550,0004F24132BE,,,,,0000-00-00,0000-00-00
District Office,Technology,48396,Projector,Epson,PowerLite 97H,VTFK5800008,213761,Howard,496,General Purpose,9/23/2015,0000-00-00
District Office,Technology,51071,Switch,Extreme,X440-48t,1545N-41441,214625,Central Knox,1249,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51070,Switch,Extreme,X440-48p,1609N-42102,214625,Central Knox,1816,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51069,Switch,Extreme,X460G2-48p-10G4,1603N-42436,214625,Central Knox,4676,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51068,Switch,Extreme,X440-24t,1534N-40444,214625,Central Knox,691,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51067,Switch,Extreme,X440-24t,1548N-41497,214625,Central Knox,691,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51066,Switch,Extreme,X440-48t,1545N-41447,214625,Central Knox,1249,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51065,Switch,Extreme,X440-48t,1545N-41479,214625,Central Knox,1249,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51064,Switch,Extreme,X440-48t,1545N-41480,214625,Central Knox,1249,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51063,Switch,Extreme,?X440-48p,1609N-42127,214625,Central Knox,1816,General Purpose,3/21/2016,0000-00-00
District Office,Technology,51062,Switch,Extreme,X460G2-48p-10G4,1603N-42437,214625,Central Knox,4676,General Purpose,3/21/2016,0000-00-00
District Office,Technology,49138,Overhead Projector,Epson,PowerLite 97H,VTFK5307669,214341,,478,General Purpose,,0000-00-00
District Office,Technology,48429,Printer,Brother,HL-5450DN,U63079C5N945896,94163,Central Knox,200,Title I,5/20/2015,0000-00-00
District Office,Technology,48430,Printer,Brother,HL-54580DN,U63079DN973672,94163,Central Knox,200,Title I,5/20/2015,0000-00-00
District Office,Technology,48431,Printer,Brother,HL-5450DN,U63079C5N945353,94163,Central Knox,200,General Purpose,5/20/2015,0000-00-00
District Office,Technology,48432,Printer,Brother,HL-5450DN,U63079C5N953436,94163,Central Knox,200,Title I,5/20/2015,0000-00-00
